reg_a_address reg_b_address reg_write_address write_enable write_data reg_a reg_b
11 12 16 1 D821CCC0 00000000 00000000
1B 11 1B 1 6C74A409 00000000 00000000
14 0C 0E 0 4C2B3A57 00000000 00000000
01 1E 08 1 6229393A 00000000 00000000
19 19 10 0 7ADFC8AE 00000000 00000000
0C 1D 1A 0 122F6B4D 00000000 00000000
02 14 00 1 5E4513D0 00000000 00000000
1E 18 04 0 DEB91DAF 00000000 00000000
1F 0F 19 1 CD087CB1 00000000 00000000
10 18 15 1 1E473B8E 00000000 00000000
14 12 04 1 89914AB9 00000000 00000000
18 10 03 1 6A2748F4 00000000 00000000
08 05 18 1 BCA6AB72 6229393A 00000000
06 12 04 0 04CF6880 00000000 00000000
13 04 13 0 38EA0DE8 00000000 89914AB9
0C 1E 1C 0 AE8BC669 00000000 00000000
0B 13 0D 1 E7005101 00000000 00000000
03 01 1F 0 AAB13923 6A2748F4 00000000
15 05 06 1 5BAFDC52 1E473B8E 00000000
18 0A 13 0 5D1C2635 BCA6AB72 00000000
12 01 0E 0 A25FC8CB 00000000 00000000
1E 03 14 0 3578F27F 00000000 6A2748F4
05 1F 14 0 94F424B4 00000000 00000000
0D 0E 0F 0 3E92ACE3 E7005101 00000000
05 0A 03 1 ACBC9175 00000000 00000000
0A 04 18 1 325338A9 00000000 89914AB9
0B 15 1A 0 03796E5E 00000000 1E473B8E
13 1A 15 0 1899E7A2 00000000 00000000
1F 1C 0E 1 8276BE2A 00000000 00000000
01 13 0E 1 BD4060C9 00000000 00000000
01 0E 09 0 FAC6322B 00000000 BD4060C9
0B 09 0F 1 1E64F082 00000000 00000000
0A 1C 0D 1 EB117ADE 00000000 00000000
06 16 12 0 910CCAE3 5BAFDC52 D821CCC0
08 10 10 1 EAAE5B0E 6229393A 00000000
1D 12 02 0 EDE65B0A 00000000 00000000
0A 00 15 1 D7A3BB02 00000000 00000000
14 16 1A 0 4A168480 00000000 D821CCC0
05 0C 12 0 8D85B573 00000000 00000000
05 1A 0B 0 0133B91E 00000000 00000000
15 12 08 0 B428205E D7A3BB02 00000000
09 1E 0D 0 3FAE4928 00000000 00000000
12 0C 12 0 E562C59A 00000000 00000000
14 07 1C 1 F3E75BEC 00000000 00000000
0E 0E 1B 1 FA839FC3 BD4060C9 BD4060C9
